timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z,ball_Accel_X,ball_Accel_Y,ball_Accel_Z,ball_Gyro_X,ball_Gyro_Y,ball_Gyro_Z
6569.174,-0.1149,-1.1055,9.8584,0.7,-1.4,0.98,0.3924,8.8008,-4.1922,0.84,-1.75,-0.98,0.3206,-8.4084,5.3169,0.98,-0.84,2.17,1.2251,-8.059,5.8146,0.21,-1.47,-1.61,0.8375,4.9244,8.6524,0.77,-1.33,-0.28
6658.976,-0.1149,-1.1198,9.9063,0.49,-1.33,1.05,0.3972,8.8199,-4.2257,0.56,-1.68,-0.98,0.2824,-8.4179,5.3264,0.7,-0.98,2.1,1.3591,-7.7958,6.2309,-4.69,-3.08,-1.75,0.8518,4.9292,8.6524,0.56,-1.19,-0.35
6749.724,-0.1292,-1.0816,9.8871,0.56,-1.26,1.12,0.3972,8.8056,-4.1922,0.84,-1.82,-0.91,0.3063,-8.4084,5.2977,0.84,-0.77,2.17,1.1677,-7.9825,6.0156,-0.21,-1.75,-1.05,0.8327,4.9101,8.6668,0.63,-1.26,-0.21
6868.277,-0.1292,-1.1151,9.9015,0.49,-1.26,0.91,0.3876,8.8152,-4.2257,1.05,-1.75,-1.05,0.2919,-8.4179,5.3121,0.7,-0.91,1.89,1.3543,-8.0495,5.9629,-0.14,-1.75,-1.26,0.8375,4.934,8.662,0.35,-1.26,-0.35
6927.39,-0.1149,-1.1151,9.9206,0.49,-1.4,0.91,0.3637,8.8152,-4.1874,1.33,-1.82,-0.98,0.3159,-8.4084,5.2929,1.05,-0.77,2.24,1.2969,-7.925,6.0778,-1.26,-2.31,-0.91,0.8423,4.934,8.6477,0.84,-1.33,-0.28
7018.337,-0.1292,-1.0959,9.8824,0.77,-1.4,0.98,0.4355,8.8056,-4.2257,0.07,-1.68,-0.98,0.2871,-8.4179,5.3312,0.56,-1.05,1.96,1.1916,-8.016,5.8528,-0.07,-1.82,-1.19,0.8375,4.9196,8.6524,0.35,-1.33,-0.21
7107.993,-0.1244,-1.1103,9.8967,0.63,-1.4,0.91,0.3924,8.8247,-4.2114,1.47,-1.82,-1.05,0.2632,-8.4371,5.3408,0.98,-0.77,2.17,1.1964,-7.9777,5.9438,0.28,-1.68,-1.4,0.8566,4.9244,8.6716,0.35,-1.47,-0.28
7228.984,-0.1292,-1.1007,9.9494,0.49,-1.33,1.05,0.4116,8.8056,-4.2209,0.56,-1.75,-1.05,0.268,-8.4132,5.3073,0.77,-0.98,1.89,1.1629,-7.9968,5.9486,-0.14,-1.82,-1.54,0.8375,4.9244,8.6477,0.49,-1.19,-0.35
7318.452,-0.1244,-1.1198,9.8967,0.63,-1.61,0.77,0.4068,8.796,-4.2209,1.12,-1.82,-0.98,0.2776,-8.3988,5.3456,0.91,-0.77,2.17,1.1773,-7.992,5.9246,0.14,-1.61,-1.05,0.8279,4.9005,8.6524,0.56,-1.26,-0.28
7408.169,-0.134,-1.1007,9.8967,0.63,-1.33,1.12,0.4068,8.8056,-4.2353,0.77,-1.75,-1.05,0.2919,-8.4036,5.2929,0.7,-0.84,2.1,1.1581,-8.0255,5.9438,0.56,-1.4,-1.33,0.8518,4.9149,8.6429,0.56,-1.19,-0.28
7497.9,-0.1244,-1.1198,9.9111,0.49,-1.33,0.91,0.3924,8.8152,-4.2114,1.19,-1.82,-1.05,0.2871,-8.4179,5.3551,0.84,-0.77,2.03,1.1677,-8.1069,5.6183,-3.43,-3.43,-3.15,0.8614,4.9244,8.6572,0.42,-1.26,-0.28
